7224 4 4
0.13265 0.13265 0.13226 0.13233 
0.13232 0.13246 0.13224 0.13243 
0.13232 0.13246 0.13224 0.13243 
0.13242 0.13246 0.13236 0.13241 
0.13242 0.13246 0.13236 0.13241 
0.13242 0.13258 0.1324 0.13242 
0.13242 0.13258 0.1324 0.13242 
0.13243 0.1326 0.13242 0.1325 
0.13243 0.1326 0.13242 0.1325 
0.13251 0.13267 0.13247 0.13248 
0.13251 0.13267 0.13247 0.13248 
0.13249 0.1326 0.13232 0.13232 
0.13249 0.1326 0.13232 0.13232 
0.13233 0.13246 0.13228 0.13233 
0.13233 0.13246 0.13228 0.13233 
0.13232 0.13255 0.13228 0.1323 
0.13232 0.13255 0.13228 0.1323 
0.13231 0.13241 0.13215 0.13237 
0.13231 0.13241 0.13215 0.13237 
0.13238 0.13265 0.13233 0.13245 
0.13238 0.13265 0.13233 0.13245 
0.13246 0.13274 0.13238 0.13267 
0.13246 0.13274 0.13238 0.13267 
0.13268 0.13315 0.13261 0.13303 
0.13268 0.13315 0.13261 0.13303 
0.13304 0.1331 0.13263 0.13293 
0.13304 0.1331 0.13263 0.13293 
0.13292 0.13303 0.13274 0.13286 
0.13292 0.13303 0.13274 0.13286 
0.13287 0.13312 0.13281 0.13286 
0.13287 0.13312 0.13281 0.13286 
0.13285 0.13296 0.13268 0.13269 
0.13285 0.13296 0.13268 0.13269 
0.13268 0.13271 0.13243 0.13248 
0.13268 0.13271 0.13243 0.13248 
0.13249 0.13282 0.13246 0.13272 
0.13249 0.13282 0.13246 0.13272 
0.13273 0.13291 0.13257 0.13264 
0.13273 0.13291 0.13257 0.13264 
0.13265 0.13277 0.13252 0.13258 
0.13265 0.13277 0.13252 0.13258 
0.13257 0.13267 0.13244 0.13257 
0.13257 0.13267 0.13244 0.13257 
0.13258 0.13267 0.13229 0.13249 
0.13258 0.13267 0.13229 0.13249 
0.1325 0.13262 0.13245 0.13249 
0.1325 0.13262 0.13245 0.13249 
0.1325 0.13255 0.13235 0.1324 
0.1325 0.13255 0.13235 0.1324 
0.13241 0.1325 0.13234 0.13241 
0.13241 0.1325 0.13234 0.13241 
0.13242 0.13262 0.13241 0.13257 
0.13242 0.13262 0.13241 0.13257 
0.13256 0.13274 0.13255 0.13271 
0.13256 0.13274 0.13255 0.13271 
0.1327 0.1328 0.13259 0.13264 
0.1327 0.1328 0.13259 0.13264 
0.13263 0.13269 0.13252 0.13261 
0.13263 0.13269 0.13252 0.13261 
0.1326 0.13307 0.13259 0.13287 
0.1326 0.13307 0.13259 0.13287 
0.13288 0.13314 0.13278 0.13278 
0.13288 0.13314 0.13278 0.13278 
0.13277 0.13281 0.13255 0.13257 
0.13277 0.13281 0.13255 0.13257 
0.13256 0.13296 0.13256 0.13295 
0.13256 0.13296 0.13256 0.13295 
0.13296 0.13302 0.13262 0.13275 
0.13296 0.13302 0.13262 0.13275 
0.13276 0.13288 0.13263 0.13282 
0.13276 0.13288 0.13263 0.13282 
0.13281 0.13327 0.13279 0.13292 
0.13281 0.13327 0.13279 0.13292 
0.13291 0.13296 0.13263 0.13276 
0.13291 0.13296 0.13263 0.13276 
0.13275 0.13297 0.13272 0.13273 
0.13275 0.13297 0.13272 0.13273 
0.13272 0.13275 0.13241 0.13244 
0.13272 0.13275 0.13241 0.13244 
0.13243 0.13249 0.13226 0.1323 
0.13243 0.13249 0.13226 0.1323 
0.13229 0.1324 0.13221 0.1324 
0.13229 0.1324 0.13221 0.1324 
0.13239 0.13249 0.13217 0.13218 
0.13239 0.13249 0.13217 0.13218 
0.13219 0.13232 0.13211 0.1322 
0.13219 0.13232 0.13211 0.1322 
0.13221 0.13262 0.13221 0.13254 
0.13221 0.13262 0.13221 0.13254 
0.13253 0.13255 0.13238 0.13248 
0.13253 0.13255 0.13238 0.13248 
0.13247 0.13255 0.13217 0.13245 
0.13247 0.13255 0.13217 0.13245 
0.13244 0.13246 0.13223 0.13243 
0.13244 0.13246 0.13223 0.13243 
0.13242 0.13263 0.13238 0.1326 
