13 May 155.50 (SPYJ1318E155.5),0.0,0.0,7.87,12.47,0,0,13 May 155.50 (SPYJ1318Q155.5),0.0,0.0,0.0,4.10,0,0,
13 May 156.00 (SPY1318E156),9.35,+0.09,9.62,9.69,86,89170,13 May 156.00 (SPY1318Q156),0.01,-0.01,0.01,0.02,188,196249,
13 May 156.00 (SPY71318E156),7.77,0.0,7.94,10.98,0,3058,13 May 156.00 (SPY71318Q156),0.29,0.0,0.0,0.03,0,2422,
13 May 156.00 (SPYJ1318E156),0.0,0.0,7.37,11.97,0,0,13 May 156.00 (SPYJ1318Q156),0.0,0.0,0.0,4.11,0,0,
13 May 156.50 (SPY1318E156.5),8.62,+0.07,9.09,9.20,50,117,13 May 156.50 (SPY1318Q156.5),0.02,-0.02,0.01,0.02,348,7711,
13 May 156.50 (SPY71318E156.5),0.0,0.0,7.58,10.60,0,0,13 May 156.50 (SPY71318Q156.5),0.0,0.0,0.0,0.03,0,0,
13 May 156.50 (SPYJ1318E156.5),0.0,0.0,6.88,11.48,0,0,13 May 156.50 (SPYJ1318Q156.5),0.0,0.0,0.0,4.11,0,0,
13 May 157.00 (SPY1318E157),8.60,+0.31,8.62,8.70,217,89995,13 May 157.00 (SPY1318Q157),0.02,0.0,0.02,0.03,2144,149235,
13 May 157.00 (SPY71318E157),8.50,+1.71,7.80,9.55,1,1534,13 May 157.00 (SPY71318Q157),0.04,+0.02,0.01,0.04,10,2457,
13 May 157.00 (SPYJ1318E157),0.0,0.0,6.38,10.86,0,0,13 May 157.00 (SPYJ1318Q157),0.0,0.0,0.0,4.12,0,0,
13 May 157.50 (SPY1318E157.5),7.55,+1.92,8.10,8.21,1,214,13 May 157.50 (SPY1318Q157.5),0.03,0.0,0.02,0.03,2,6517,
13 May 157.50 (SPY71318E157.5),0.0,0.0,6.45,8.95,0,0,13 May 157.50 (SPY71318Q157.5),0.0,0.0,0.01,0.04,0,0,
13 May 157.50 (SPYJ1318E157.5),0.0,0.0,5.88,10.36,0,0,13 May 157.50 (SPYJ1318Q157.5),0.0,0.0,0.0,4.12,0,0,
13 May 158.00 (SPY1318E158),7.64,+0.33,7.62,7.69,602,111595,13 May 158.00 (SPY1318Q158),0.03,0.0,0.02,0.03,826,156309,
13 May 158.00 (SPY71318E158),6.00,0.0,6.13,8.50,0,1132,13 May 158.00 (SPY71318Q158),0.16,0.0,0.01,0.04,0,1455,
13 May 158.00 (SPYJ1318E158),0.0,0.0,5.38,9.86,0,0,13 May 158.00 (SPYJ1318Q158),0.0,0.0,0.0,4.11,0,0,
13 May 158.50 (SPY1318E158.5),6.80,0.0,7.10,7.22,0,361,13 May 158.50 (SPY1318Q158.5),0.03,-0.01,0.02,0.03,446,3210,
13 May 158.50 (SPY71318E158.5),0.0,0.0,6.30,8.50,0,0,13 May 158.50 (SPY71318Q158.5),0.0,0.0,0.02,0.04,0,0,
13 May 158.50 (SPYJ1318E158.5),0.0,0.0,4.88,9.37,0,0,13 May 158.50 (SPYJ1318Q158.5),0.0,0.0,0.0,4.11,0,0,
13 May 159.00 (SPY1318E159),6.64,+0.32,6.65,6.71,443,135979,13 May 159.00 (SPY1318Q159),0.03,-0.01,0.03,0.04,6470,146725,
13 May 159.00 (SPY71318E159),5.00,0.0,4.65,7.75,0,9114,13 May 159.00 (SPY71318Q159),0.05,0.0,0.02,0.05,0,1335,
13 May 159.00 (SPYJ1318E159),0.0,0.0,4.39,8.87,0,0,13 May 159.00 (SPYJ1318Q159),0.0,0.0,0.0,4.09,0,0,
